LogQ(1),age(2),Tot[O]+12(3),gas[O]+12(4),Tot[Fe](5),gas[Fe](6),LogP/k(7),[NII]/Ha(8),[NII]+/Ha(9),[SII]+/Ha(10),[NII]/[OII]+(11),[NII]+/[OII]+(12),[NII]/[SII]+(13),[NII]+/[SII]+(14),[OII]+/Hb(15),[OIII]/Hb(16),[OIII]+/Hb(17),[OIII]/[OII]+(18),[OIII]+/[OII]+(19),[OIII]/[SII]+(20),[OIII]+/[SII]+(21),4363/[OIII](22),4363/[OIII]+(23),[OI]/[OII]+(24),[OII]+/[SII]+(25),R23(26),S23(27),6716/6731(28),3729/3726(29),Hbeta_abs(30),HBeta(31),Rout(32),Rmax(33),Remp(34),[NII]+/Hb(35),Ha/Hb(36)
 6.5000,  1.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0109, -0.8839, -0.9900, -0.6375, -0.5104, -0.0209,  0.1062,  0.0966, -1.5169, -1.3879, -1.6135, -1.4845, -0.9970, -0.8679,    -inf,    -inf, -1.2584,  0.6166,  0.1106, -0.3613,  0.1451,  0.1446, 863491843803943599573110358016.0000, 62148200000000004329836391195515813888.0000, 666666666666666.6250, 259300000000000000000.0000, 259100000000000000000.0000, -0.4138,  0.4701
 6.5000,  1.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4567, -0.3297, -0.4440, -0.6024, -0.4754, -0.0128,  0.1143,  0.6089, -1.1120, -0.9830, -1.7209, -1.5919, -1.1312, -1.0022,    -inf,    -inf, -1.2851,  0.5897,  0.6199,  0.1805,  0.1439,  0.1429, 837860313913587646012936159232.0000, 60302099999999999437410443344694214656.0000, 666666666666666.6250, 257500000000000000000.0000, 257300000000000000000.0000,  0.1335,  0.4632
 6.5000,  1.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2509, -0.1239, -0.2344, -0.5385, -0.4114, -0.0166,  0.1105,  0.7479, -1.0945, -0.9654, -1.8423, -1.7133, -1.3204, -1.1914,    -inf,    -inf, -1.2864,  0.5219,  0.7562,  0.3865,  0.1421,  0.1402, 805564234515714069771575099392.0000, 57974700000000002517748253397732032512.0000, 666666666666666.6250, 253400000000000000000.0000, 253200000000000000000.0000,  0.3365,  0.4603
 6.5000,  1.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.1966, -0.0695, -0.1544, -0.3214, -0.1943, -0.0422,  0.0849,  0.5917, -1.6142, -1.4851, -2.2059, -2.0768, -1.9267, -1.7976,    -inf,    -inf, -1.2432,  0.2792,  0.5953,  0.4738,  0.1346,  0.1299, 718844418911442988116670939136.0000, 51723499999999995764272935906521907200.0000, 1000000000000000.0000, 238700000000000000000.0000, 238400000000000000000.0000,  0.3974,  0.4669
 6.5000,  1.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.3710, -0.2439, -0.2582, -0.0143,  0.1128, -0.1128,  0.0143,  0.1219, -2.7022, -2.7022, -2.8240, -2.8240, -2.9225, -2.9225,    -inf,    -inf, -1.1116, -0.0985,  0.1225,  0.3614,  0.1217,  0.1136, 612728622917026672339715096576.0000, 44074700000000000998385492583920959488.0000, 1000000000000000.0000, 218900000000000000000.0000, 218600000000000000000.0000,  0.2346,  0.4785
 6.5000,  3.2000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0161, -0.8890, -0.9904, -0.6387, -0.5116, -0.0257,  0.1013,  0.0899, -1.6115, -1.4824, -1.7014, -1.5724, -1.0885, -0.9594,    -inf,    -inf, -1.3070,  0.6129,  0.1014, -0.3721,  0.1446,  0.1443, 739955545891618963680504315904.0000, 53243899999999997847403855653644533760.0000, 1000000000000000.0000, 240400000000000000000.0000, 240100000000000000000.0000, -0.4216,  0.4674
 6.5000,  3.2000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4726, -0.3455, -0.4473, -0.5969, -0.4698, -0.0253,  0.1018,  0.5860, -1.2209, -1.0919, -1.8069, -1.6778, -1.2352, -1.1062,    -inf,    -inf, -1.3252,  0.5716,  0.5950,  0.1643,  0.1432,  0.1424, 601958378970427055675824668672.0000, 43299600000000001226017555061875408896.0000, 666666666666666.6250, 218300000000000000000.0000, 218100000000000000000.0000,  0.1162,  0.4617
 6.5000,  3.2000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2804, -0.1534, -0.2383, -0.5247, -0.3976, -0.0421,  0.0849,  0.7045, -1.1903, -1.0612, -1.8948, -1.7658, -1.4123, -1.2833,    -inf,    -inf, -1.3085,  0.4825,  0.7119,  0.3652,  0.1412,  0.1393, 489334410185757052128144130048.0000, 35184399999999998996596898682682474496.0000, 1000000000000000.0000, 197300000000000000000.0000, 197000000000000000000.0000,  0.3069,  0.4603
 6.5000,  3.2000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.2501, -0.1231, -0.1509, -0.2923, -0.1652, -0.0992,  0.0279,  0.5103, -1.6275, -1.4985, -2.1378, -2.0088, -1.9447, -1.8157,    -inf,    -inf, -1.2439,  0.1931,  0.5145,  0.4413,  0.1332,  0.1283, 355913556860167726965125545984.0000, 25572700000000002029563920458398564352.0000, 666666666666666.6250, 167500000000000000000.0000, 167300000000000000000.0000,  0.3451,  0.4681
 6.5000,  3.2000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.4305, -0.3035, -0.2727,  0.0205,  0.1476, -0.1578, -0.0307,  0.0285, -2.2427, -2.1136, -2.2712, -2.1422, -2.4495, -2.3205,    -inf,    -inf, -1.0837, -0.1783,  0.0316,  0.3191,  0.1197,  0.1112, 256242149747245068024096489472.0000, 18394999999999999129712964779529732096.0000, 1000000000000000.0000, 141700000000000000000.0000, 141400000000000000000.0000,  0.1761,  0.4796
