#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    AGN_flag   n_UV_filt   L_2800_sun_obs   L_2800_sun_SED
aegis   01025   1.38940   10.41    1.25    -1.29     0.26   -1.31     2.88000e-17  4.58000e-17      22.9000  4.89000e-17  3.90000e-17  1.44000e-16  2.45000e-17      162.000  6.75000e-17  2.13000e-17     -1.00000     -1.00000       0       3  1.79129e+10  1.90353e+10
aegis   01173   1.36050    9.94    1.38    -0.31     0.33    0.12     6.42000e-17  1.36000e-17      128.000  5.55000e-17  1.26000e-17  1.58000e-16  8.20000e-18      395.000  1.09000e-17  6.61000e-18     -1.00000     -1.00000       0       3  4.23776e+09  4.77813e+09
aegis   01398   1.36420   11.12    1.87     0.21     0.37    0.69     6.35000e-17  3.12000e-17      54.0000      0.00000  1.53000e-18  2.82000e-16  2.23000e-17      241.000  9.29000e-17  1.88000e-17     -1.00000     -1.00000       0       3  4.42756e+09  5.09715e+09
aegis   01560   1.46600   10.02    0.73    -1.96     0.27   -1.95     4.49000e-17  1.11000e-17      118.000  1.47000e-17  1.00000e-17  4.11000e-17  6.50000e-18      80.7000      0.00000  5.29000e-19     -1.00000     -1.00000       0       4  1.30067e+10  1.40935e+10
aegis   01579   1.40250    9.96    0.66    -1.82     0.26   -2.00     5.90000e-17  2.07000e-17      139.000      0.00000  8.78000e-19  9.87000e-17  1.55000e-17      158.000  4.64000e-17  1.37000e-17     -1.00000     -1.00000       0       4  1.29392e+10  1.30450e+10
aegis   02481   1.39910   11.06    0.80    -0.83     0.28   -0.98     1.42000e-17  1.77000e-17      10.1000      0.00000  8.78000e-19  1.03000e-16  1.45000e-17      78.5000  3.28000e-17  1.20000e-17     -1.00000     -1.00000       0       3  7.69035e+09  9.18460e+09
aegis   02548   1.48920    9.51    0.69    -1.58     0.27   -1.66     6.10000e-17  1.27000e-17      203.000  7.14000e-18  1.14000e-17  4.36000e-17  1.02000e-17      214.000  1.12000e-17  1.55000e-17     -1.00000     -1.00000       0       4  9.27488e+09  9.73206e+09
aegis   03080   1.40210    9.80    0.71    -1.46     0.27   -1.39     7.77000e-17  1.14000e-17      226.000  3.50000e-17  1.07000e-17  9.68000e-17  7.52000e-18      394.000  4.86000e-18  5.99000e-18     -1.00000     -1.00000       0       4  9.14548e+09  9.84173e+09
aegis   03100   1.39690    9.63    0.52    -2.07     0.27   -2.05     1.39000e-17  1.58000e-17      18.6000  1.80000e-17  1.53000e-17  3.95000e-17  1.06000e-17      188.000  4.06000e-17  1.11000e-17     -1.00000     -1.00000       0       3  7.36237e+09  7.94630e+09
aegis   03327   1.35910    8.69    0.08    -2.28     0.28   -2.33     2.57000e-17  1.01000e-17      163.000  1.51000e-18  9.28000e-18  2.62000e-17  4.88000e-18      201.000      0.00000  4.31000e-19     -1.00000     -1.00000       0       3  3.70878e+09  3.73274e+09
aegis   03464   1.39940    9.41    0.71    -1.90     0.26   -1.67     2.45000e-17  1.18000e-17      94.9000  4.47000e-19  9.86000e-18  3.16000e-17  6.99000e-18      238.000      0.00000  3.18000e-19     -1.00000     -1.00000       0       3  1.15737e+10  1.27542e+10
aegis   03696   1.46330   10.70    1.40    -0.34     0.34   -1.26     2.70000e-17  1.30000e-17      31.6000  4.60000e-17  1.28000e-17  1.48000e-16  1.05000e-17      179.000      0.00000  9.09000e-19     -1.00000     -1.00000       0       4  5.68621e+09  5.38864e+09
aegis   03977   1.44960   10.02    1.73    -1.36     0.26   -1.28     1.10000e-16  1.77000e-17      118.000  6.47000e-17  1.86000e-17  1.99000e-16  1.43000e-17      222.000  3.77000e-17  1.42000e-17     -1.00000     -1.00000       0       4  2.00122e+10  2.36671e+10
aegis   04451   1.34030    9.80    0.80    -1.86     0.26   -1.61     1.17000e-16  2.59000e-17      38.4000      0.00000  1.28000e-18  1.44000e-16  1.49000e-17      343.000  5.08000e-17  1.32000e-17     -1.00000     -1.00000       0       3  1.39556e+10  1.51854e+10
aegis   04662   1.47380   10.06    1.11    -1.46     0.26   -1.53     1.28000e-16  1.50000e-17      180.000  3.70000e-17  1.33000e-17  1.47000e-16  1.10000e-17      302.000  1.37000e-17  1.26000e-17     -1.00000     -1.00000       0       4  2.43441e+10  2.58417e+10
aegis   04774   1.35750    9.96    0.83    -1.51     0.27   -1.53     1.45000e-17  1.52000e-17      26.1000  3.77000e-17  1.59000e-17  6.10000e-17  1.03000e-17      157.000  2.06000e-17  8.73000e-18     -1.00000     -1.00000       0       3  9.06251e+09  9.72797e+09
aegis   04841   1.36290    9.13    0.38    -2.15     0.27   -2.09     5.72000e-17  1.23000e-17      202.000      0.00000  1.01000e-18  2.72000e-17  6.05000e-18      148.000      0.00000  5.32000e-19     -1.00000     -1.00000       0       3  7.10548e+09  7.11013e+09
aegis   04900   1.38760    7.80   -0.40    -3.14     0.44   -1.69     5.01000e-17  7.20000e-18     -1240.00  2.31000e-17  6.61000e-18  2.65000e-17  3.68000e-18      1600.00  1.21000e-18  3.74000e-18     -1.00000     -1.00000       0       3  8.42540e+08  1.15814e+09
aegis   04963   1.36230    9.32    0.52    -1.90     0.26   -1.66     2.43000e-17  1.10000e-17      77.4000      0.00000  7.47000e-19  2.59000e-17  7.10000e-18      138.000  1.03000e-17  6.23000e-18     -1.00000     -1.00000       0       3  8.84146e+09  1.00566e+10
aegis   04991   1.36160    9.42    0.62    -1.71     0.27   -1.71     3.32000e-17  1.16000e-17      64.3000      0.00000  9.40000e-19  3.05000e-17  5.82000e-18      101.000  1.83000e-17  5.82000e-18     -1.00000     -1.00000       0       3  8.59234e+09  9.05949e+09
aegis   05242   1.39940    8.52    0.45    -2.30     0.27   -1.90     9.47000e-17  7.99000e-18      1150.00      0.00000  3.99000e-19  3.30000e-17  3.78000e-18      532.000      0.00000  2.45000e-19     -1.00000     -1.00000       0       3  5.13413e+09  5.78129e+09
aegis   05280   1.49700    8.39   -0.23    -2.14     0.42   -2.19     7.50000e-17  9.29000e-18      698.000  1.87000e-17  8.74000e-18  6.40000e-17  7.92000e-18      1390.00  3.45000e-17  1.45000e-17     -1.00000     -1.00000       0       4  1.32393e+09  1.36047e+09
aegis   05315   1.39390    9.93    0.72    -1.04     0.29   -0.83     4.67000e-17  2.08000e-17      212.000  3.54000e-17  2.34000e-17  8.16000e-17  1.56000e-17      247.000  4.18000e-18  1.22000e-17     -1.00000     -1.00000       0       3  4.68115e+09  5.20765e+09
aegis   05499   1.45350    9.22    0.79    -1.92     0.26   -1.97     2.13000e-16  9.83000e-18      732.000  3.81000e-17  8.86000e-18  1.19000e-16  5.61000e-18      704.000  9.65000e-18  6.40000e-18     -1.00000     -1.00000       0       4  1.43646e+10  1.46483e+10
aegis   06574   1.49050    9.55    0.56    -1.20     0.29   -1.24     3.60000e-17  8.93000e-18      165.000      0.00000  6.33000e-19  3.25000e-17  7.26000e-18      222.000  1.89000e-17  1.14000e-17     -1.00000     -1.00000       0       4  5.30320e+09  5.70530e+09
aegis   06601   1.36390   10.16    0.87    -1.27     0.27   -1.29     4.33000e-17  2.52000e-17      62.0000      0.00000  1.07000e-18  1.07000e-16  1.86000e-17      185.000  5.29000e-17  1.67000e-17     -1.00000     -1.00000       0       3  1.34749e+10  1.48103e+10
aegis   06773   1.38890    8.33   -0.39    -2.42     0.41   -2.02     3.87000e-17  9.34000e-18      923.000      0.00000  7.19000e-19  2.09000e-17  4.91000e-18      1060.00  1.93000e-18  5.11000e-18     -1.00000     -1.00000       0       3  1.05134e+09  1.16079e+09
aegis   06892   1.35360    9.55    0.44    -1.83     0.28   -1.69     3.56000e-17  1.46000e-17      106.000      0.00000  9.47000e-19  4.57000e-17  8.96000e-18      219.000  1.46000e-18  7.34000e-18     -1.00000     -1.00000       0       3  6.90245e+09  7.10544e+09
