#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    fsiii_9069    esiii_9069    fsiii_9532    esiii_9532    AGN_flag    grism_flag
Par1   10   0.50840   10.15    1.16   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  2.27000e-16  3.39411e-17      57.4000  1.09000e-16  2.84257e-17     -1.00000     -1.00000  3.05000e-18  1.30815e-17  7.57000e-18  3.23855e-17       0      3.00000
Par1   13   0.53090   10.02    0.92   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.29000e-16  2.46073e-17      46.0000  2.28000e-17  1.99404e-17     -1.00000     -1.00000  4.02000e-18  9.10754e-18  9.97000e-18  2.26274e-17       0      3.00000
Par1   15   0.66990   10.04    1.32   -99.00   -99.00   -99.00     1.04000e-16  6.11000e-17      63.3000      0.00000  6.25716e-17  2.57000e-16  3.89668e-17      114.000  1.14000e-16  3.72035e-17     -1.00000     -1.00000  1.08000e-17  1.48492e-17  2.67500e-17  3.67696e-17       0      3.00000
Par1   28   1.34435    9.61    1.32   -99.00   -99.00   -99.00     2.09500e-16  5.92156e-17      228.000      0.00000  5.47048e-17  1.79500e-16  3.59918e-17      329.000  7.31500e-17  3.24581e-17  1.19000e-16  5.10549e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   41   1.30650    9.89    1.53   -99.00   -99.00   -99.00     2.36000e-17  5.74171e-17      28.2000      0.00000  1.91615e-17  1.70000e-16  2.80014e-17      291.000  5.38000e-17  2.44659e-17  9.73000e-17  4.80833e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   47   1.01700    9.26    1.04   -99.00   -99.00   -99.00     8.35500e-17  2.48558e-17      68.3000      0.00000  2.81487e-17  7.78500e-17  2.49040e-17      124.000  2.88500e-17  2.25020e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   49   1.30290    9.38    1.22   -99.00   -99.00   -99.00     1.06000e-16  4.42649e-17      187.000  1.62000e-17  5.10531e-17  8.83000e-17  1.99404e-17      197.000  1.14000e-17  1.76777e-17      0.00000  3.56098e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   59   0.51530    8.65    0.17   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.29000e-16  1.97990e-17      282.000  3.92000e-17  1.56978e-17     -1.00000     -1.00000      0.00000  2.05863e-17      0.00000  1.95786e-17       0      3.00000
Par1   72   1.37600    9.09    1.04   -99.00   -99.00   -99.00     8.12000e-17  4.72347e-17      199.000  5.79000e-17  5.54372e-17  1.16000e-16  2.96985e-17      672.000      0.00000  2.64407e-17  1.36000e-16  4.51134e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   95   0.75300    8.39    0.29   -99.00   -99.00   -99.00     6.54000e-16  3.32340e-17      1110.00  5.06000e-17  2.55973e-17  2.45000e-16  2.36174e-17      764.000      0.00000  2.63927e-17     -1.00000     -1.00000      0.00000  3.71417e-17      0.00000  1.46839e-14       0      3.00000
Par1   182   1.48640    8.90    0.73   -99.00   -99.00   -99.00         0.00000  1.84749e-17      0.00000  2.88000e-17  1.89505e-17  7.71000e-17  1.78191e-17      616.000  1.57000e-17  2.43245e-17  3.60000e-17  1.72534e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par1   261   1.47880    8.34    0.14   -99.00   -99.00   -99.00     4.29500e-17  2.02951e-17      595.000      0.00000  1.51638e-17  5.32000e-17  1.42836e-17      3210.00  1.24500e-17  1.78899e-17  2.45500e-17  1.41639e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par2   44   1.44600   10.03    1.21   -99.00   -99.00   -99.00     1.04000e-16  2.95571e-17      144.000  3.14000e-17  2.61630e-17  1.49000e-16  2.07889e-17      208.000  8.06000e-18  1.90919e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      2.00000
Par2   70   1.35960    9.60    0.91   -99.00   -99.00   -99.00     1.73000e-16  3.83252e-17      543.000  5.90000e-17  4.14365e-17  1.61000e-16  2.44659e-17      626.000  2.34000e-17  2.02233e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      2.00000
Par2   136   1.71070    8.73    0.72   -99.00   -99.00   -99.00     2.60000e-16  2.41831e-17      2020.00  4.62000e-17  1.85262e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      2.00000
Par5   14   0.54770    9.66    0.98   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  4.48000e-16  4.49720e-17      89.1000  6.84000e-17  3.35169e-17     -1.00000     -1.00000  1.13000e-17  1.13420e-17  2.81000e-17  2.81428e-17       0      3.00000
Par5   31   0.61830    9.70    0.88   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.14000e-16  2.80014e-17      62.9000  5.88000e-17  2.60215e-17     -1.00000     -1.00000  1.48000e-17  7.59433e-18  3.66000e-17  1.88090e-17       0      3.00000
Par5   32   1.15350   11.60    1.48   -99.00   -99.00   -99.00     2.75000e-17  2.33345e-17      16.2500  1.84000e-17  2.15669e-17  1.30000e-16  2.20617e-17      68.4500  4.45500e-17  1.82434e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   36   1.39300    9.91    1.60   -99.00   -99.00   -99.00     1.30500e-16  2.36279e-17      80.5000  4.59500e-17  2.46806e-17  1.93000e-16  1.71400e-17      132.000  3.50500e-17  1.57686e-17  1.53500e-16  3.48690e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   37   0.70305    9.87    1.00   -99.00   -99.00   -99.00     8.07000e-17  7.66599e-17      84.4000  9.81000e-17  9.41288e-17  1.39000e-16  2.34062e-17      111.000  3.12000e-17  2.91000e-17     -1.00000     -1.00000  1.79000e-17  7.58018e-18  4.44000e-17  1.88090e-17       0      3.00000
